Ortholog	Species	Check
Pa_5_640+Pa_5_630	pseudoanserina	Monophyletic
Pa_5_640+Pa_5_630	All	Monophyletic
Pa_7_5020	anserina	Monophyletic
Pa_7_5020	pauciseta	Monophyletic
Pa_7_5020	comata	Monophyletic
Pa_7_5020	pseudoanserina	Monophyletic
Pa_7_5020	All	Monophyletic
Pa_5_11700	anserina	Monophyletic
Pa_5_11700	pauciseta	Monophyletic
Pa_5_11700	comata	Monophyletic
Pa_5_11700	pseudoanserina	Monophyletic
Pa_5_11700	All	Monophyletic
Pa_1_10530	anserina	Monophyletic
Pa_1_10530	pauciseta	Monophyletic
Pa_1_10530	comata	Monophyletic
Pa_1_10530	pseudoanserina	Monophyletic
Pa_1_10530	All	Monophyletic
Pa_2_10310	anserina	Monophyletic
Pa_2_10310	pauciseta	Monophyletic
Pa_2_10310	comata	Monophyletic
Pa_2_10310	pseudoanserina	Monophyletic
Pa_2_10310	All	Monophyletic
Pa_6_2410+Pa_6_2405	anserina	Monophyletic
Pa_6_2410+Pa_6_2405	pauciseta	Monophyletic
Pa_6_2410+Pa_6_2405	comata	Monophyletic
Pa_6_2410+Pa_6_2405	pseudoanserina	Monophyletic
Pa_6_2410+Pa_6_2405	All	Monophyletic
Pa_4_6095+Pa_4_6090	anserina	Monophyletic
Pa_4_6095+Pa_4_6090	pauciseta	Monophyletic
Pa_4_6095+Pa_4_6090	comata	Monophyletic
Pa_4_6095+Pa_4_6090	pseudoanserina	Monophyletic
Pa_4_6095+Pa_4_6090	All	Monophyletic
Pa_7_3660	anserina	Monophyletic
Pa_7_3660	pauciseta	Monophyletic
Pa_7_3660	comata	Monophyletic
Pa_7_3660	pseudoanserina	Monophyletic
Pa_7_3660	All	Monophyletic
Pa_5_10133+Pa_5_10134	anserina	Monophyletic
Pa_5_10133+Pa_5_10134	pauciseta	Monophyletic
Pa_5_10133+Pa_5_10134	comata	Monophyletic
Pa_5_10133+Pa_5_10134	pseudoanserina	NA
Pa_5_10133+Pa_5_10134	All	Monophyletic
Pa_1_15280+Pa_1_15290	anserina	Monophyletic
Pa_1_15280+Pa_1_15290	pauciseta	Monophyletic
Pa_1_15280+Pa_1_15290	comata	Monophyletic
Pa_1_15280+Pa_1_15290	pseudoanserina	Monophyletic
Pa_1_15280+Pa_1_15290	All	Monophyletic
Pa_5_8000	anserina	Not_monophyletic
Pa_5_8000	pauciseta	Not_monophyletic
Pa_5_8000	comata	Monophyletic
Pa_5_8000	pseudoanserina	Monophyletic
Pa_5_8000	All	Not_monophyletic
Pa_5_340	anserina	Monophyletic
Pa_5_340	pauciseta	Monophyletic
Pa_5_340	comata	Absent
Pa_5_340	pseudoanserina	Absent
Pa_5_340	All	Monophyletic
Pa_5_12660	anserina	Monophyletic
Pa_5_12660	pauciseta	Monophyletic
Pa_5_12660	comata	Monophyletic
Pa_5_12660	pseudoanserina	Monophyletic
Pa_5_12660	All	Monophyletic
Pa_5_7560	anserina	Monophyletic
Pa_5_7560	pauciseta	Absent
Pa_5_7560	comata	Monophyletic
Pa_5_7560	pseudoanserina	Absent
Pa_5_7560	All	Monophyletic
Pa_1_11370	anserina	Monophyletic
Pa_1_11370	pauciseta	Not_monophyletic
Pa_1_11370	comata	Not_monophyletic
Pa_1_11370	pseudoanserina	Monophyletic
Pa_1_11370	All	Not_monophyletic
Pa_2_4490+Pa_2_4500	anserina	Monophyletic
Pa_2_4490+Pa_2_4500	pauciseta	Monophyletic
Pa_2_4490+Pa_2_4500	comata	Absent
Pa_2_4490+Pa_2_4500	pseudoanserina	Monophyletic
Pa_2_4490+Pa_2_4500	All	Monophyletic
Pa_5_8190+Pa_5_8200	anserina	Monophyletic
Pa_5_8190+Pa_5_8200	pauciseta	Monophyletic
Pa_5_8190+Pa_5_8200	comata	Monophyletic
Pa_5_8190+Pa_5_8200	pseudoanserina	Monophyletic
Pa_5_8190+Pa_5_8200	All	Monophyletic
PaPlp1	anserina	Not_monophyletic
PaPlp1	pauciseta	Monophyletic
PaPlp1	comata	Not_monophyletic
PaPlp1	pseudoanserina	Monophyletic
PaPlp1	All	Not_monophyletic
