PFAM	Description	Type	Subset_Count	total_PFAMs_subset	total_genes_subset	Rest_Count	total_PFAMs_rest	total_genes_rest	Odds_ratio	P_Value	P_Value_Adj
PF08623	TATA-binding protein interacting (TIP20)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04178	Got1/Sft2-like family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF17284	Spermidine synthase tetramerisation domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13364	Beta-galactosidase second all-beta domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12612	Tubulin folding cofactor D C terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23585	Domain of unknown function (DUF7137)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00305	Lipoxygenase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF22062	DNA polymerase alpha subunit B, OB domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16893	Fibronectin type III domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12726	SEN1 N terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02410	Ribosomal silencing factor during starvation	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03959	Serine hydrolase (FSH1)	Other	0	172	181	6	10809	10903	0.0000	1.0	1.0
PF14619	Snf2-ATP coupling, chromatin remodelling complex	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23441	SDR-like rossmann domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01591	6-phosphofructo-2-kinase	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF00786	P21-Rho-binding domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF18323	Cop9 signalosome subunit 5 C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00686	Starch binding domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF03455	dDENN domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08064	UME (NUC010) domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10270	Membrane magnesium transporter	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF21581	Stromalin conservative domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17121	Zinc finger, C3HC4 type (RING finger)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13589	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF08501	Shikimate dehydrogenase substrate binding domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF08609	Nucleotide exchange factor Fes1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08438	Obg-like GTPase YGR210-like, G4 motif-containing domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09496	Cenp-O kinetochore centromere component	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00344	SecY	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17675	Apg6 coiled-coil region	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF19834	Family of unknown function (DUF6314)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23152	NAD-specific glutamate dehydrogenase, second domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01243	Pyridoxamine 5'-phosphate oxidase	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF20252	BIG2 C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00684	DnaJ central domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF00317	Ribonucleotide reductase, all-alpha domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02157	Mannose-6-phosphate receptor	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05241	EXPERA (EXPanded EBP superfamily)	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF01479	S4 domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF04003	Dip2/Utp12 Family	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF14748	Pyrroline-5-carboxylate reductase dimerisation	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23588	ATP-dependent helicase CHD1-2/hrp3 HTH domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF11221	Subunit 21 of Mediator complex	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09138	Urm1 (Ubiquitin related modifier)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00708	Acylphosphatase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14382	Exosome complex exonuclease RRP4 N-terminal region	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF04855	SNF5 / SMARCB1 / INI1	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF04030	D-arabinono-1,4-lactone oxidase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF17855	MCM AAA-lid domain	Other	0	172	181	6	10809	10903	0.0000	1.0	1.0
PF01783	Ribosomal L32p protein family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13632	Glycosyl transferase family group 2	Other	0	172	181	7	10809	10903	0.0000	1.0	1.0
PF01853	MOZ/SAS family	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF00885	6,7-dimethyl-8-ribityllumazine synthase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14022	Protein of unknown function (DUF4238)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02373	JmjC domain, hydroxylase	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF05148	Hypothetical methyltransferase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04193	PQ loop repeat	Other	0	172	181	8	10809	10903	0.0000	1.0	1.0
PF17903	Krr1 KH1 domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF24487	Kinetochore protein NDC80 loop region	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00677	Lumazine binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02347	Glycine cleavage system P-protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10397	Adenylosuccinate lyase C-terminus	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF21704	DNApol eta/Rev1, HhH motif	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00988	Carbamoyl-phosphate synthase small chain, CPSase domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF09796	Ubiquinol-cytochrome-c reductase complex subunit (QCR10)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10361	Protein of unknown function (DUF2434)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02259	FAT domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF01779	Ribosomal L29e protein family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22301	Aldos-2-ulose dehydratase, beta-propeller domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12328	Rpp20 subunit of nuclear RNase MRP and P	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10203	Cytochrome c oxidase assembly protein PET191	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04921	XAP5, circadian clock regulator C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22314	NPC1, middle luminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12572	Protein of unknown function (DUF3752)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02015	Glycosyl hydrolase family 45	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF03917	Eukaryotic glutathione synthase, ATP binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05460	Origin recognition complex subunit 6 (ORC6)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF24803	Domain of unknown function (DUF7704)	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF07247	Alcohol acetyltransferase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02535	ZIP Zinc transporter	Other	0	172	181	8	10809	10903	0.0000	1.0	1.0
PF10344	Hobbit/FMP27/BTLP2 family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00445	Ribonuclease T2 family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05746	DALR anticodon binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10236	Mitochondrial ribosomal death-associated protein 3	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13243	Squalene-hopene cyclase C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13428	Tetratricopeptide repeat	NLR-associated	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00226	DnaJ domain	Other	0	172	181	25	10809	10903	0.0000	1.0	1.0
PF12927	Domain of unknown function (DUF3835)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16495	SWIRM-associated region 1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08229	ER membrane protein SH3	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09262	Peroxisome biogenesis factor 1, N-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00246	Zinc carboxypeptidase	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF06419	Conserved oligomeric complex COG6, N-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00575	S1 RNA binding domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF01625	Peptide methionine sulfoxide reductase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02678	Pirin	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF00425	chorismate binding enzyme	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF10404	Rad4 beta-hairpin domain 2	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF14847	Ras-binding domain of Byr2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF20248	Family of unknown function (DUF6603)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23395	SAM-like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01532	Glycosyl hydrolase family 47	Other	0	172	181	9	10809	10903	0.0000	1.0	1.0
PF00075	RNase H	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF08608	Wyosine base formation	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09282	Mago binding	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16558	Amino-terminal Zinc-binding domain of ubiquitin ligase E3A	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF05536	Neurochondrin	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08650	DASH complex subunit Dad4	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18553	PheRS DNA binding domain 3	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03556	Cullin binding	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03950	tRNA synthetases class I (E and Q), anti-codon binding domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF11875	DnaJ-like protein C11, C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01370	NAD dependent epimerase/dehydratase family	Other	0	172	181	14	10809	10903	0.0000	1.0	1.0
PF17167	Glycosyl hydrolase 94 superfamily, catalytic domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01459	Eukaryotic porin	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF13019	Yeast Splicing regulator sde2, N-terminal ubiquitin domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04280	Tim44-like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07500	Transcription factor S-II (TFIIS), central domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF07542	ATP12 chaperone protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22527	DEXQ-box helicase domain of Suv3	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF20719	Mediator complex subunit 16, C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02148	Zn-finger in ubiquitin-hydrolases and other protein	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF22041	Glutathione S-transferase, C-terminal domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF09336	Vps4 C terminal oligomerisation domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF24179	Neuropathy Target Esterase family P-loop like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03820	Sideroflexins	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04388	Hamartin protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12719	Nuclear condensing complex subunits, C-term domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14033	Protein of unknown function (DUF4246)	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF09334	tRNA synthetases class I (M)	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF14630	Origin recognition complex (ORC) subunit 5 C-terminus	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00728	Glycosyl hydrolase family 20, catalytic domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08327	Activator of Hsp90 ATPase homolog 1-like protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF20750	Poly(A) polymerase nucleotidyltransferase domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08512	Histone chaperone Rttp106-like, middle domain	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF08234	Chromosome segregation protein Spc25	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF15460	Something about silencing, SAS, complex subunit 4	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13419	Haloacid dehalogenase-like hydrolase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF10330	Putative Sin3 binding protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03200	Glycosyl hydrolase family 63 C-terminal domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF11719	DNA replication and checkpoint protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23276	Fungal tetratrico peptide repeats	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01424	R3H domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF15463	Extracellular mutant protein 11	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10419	TFIIIC subunit triple barrel domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF25066	VPS8-like, TPR-like repeats	NLR-associated	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16076	Acyltransferase C-terminus	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF19302	Domain of unknown function (DUF5915)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13339	Apoptosis antagonizing transcription factor	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08565	Cdc37 Hsp90 binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01256	NAD(P)H-hydrate dehydratase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00752	XPG N-terminal domain	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF02114	Phosducin	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01918	Alba	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00867	XPG I-region	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF14821	Threonine synthase N terminus	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16488	Argonaute linker 2 domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF04882	Peroxin-3	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF19316	GPI ethanolamine phosphate transferase membrane region	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23024	Disco-interacting protein 2-like, AMP domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF10343	Queuosine salvage protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08236	SRI (Set2 Rpb1 interacting) domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22379	MCM10 OB-fold	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01733	Nucleoside transporter	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12680	SnoaL-like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12074	Generalcontrol nonderepressible 1 (Gcn1) N-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09724	Sister chromatid cohesion protein Dcc1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06220	U1 zinc finger	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF07572	Bucentaur or craniofacial development	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07543	Protein trafficking PGA2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF14881	Tubulin domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08637	ATP synthase regulation protein NCA2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03732	Retrotransposon gag protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13242	HAD-hyrolase-like	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF00333	Ribosomal protein S5, N-terminal domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF07492	Neutral trehalase Ca2+ binding domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01490	Transmembrane amino acid transporter protein	Other	0	172	181	6	10809	10903	0.0000	1.0	1.0
PF13095	Kinetochore Sim4 complex subunit FTA2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01096	Transcription factor S-II (TFIIS)	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF04922	DIE2/ALG10 family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13430	Domain of unknown function (DUF4112)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01757	Acyltransferase domain	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF01896	DNA primase small subunit	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01380	SIS domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF17407	Nrap protein domain 6	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09302	XLF N-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22241	PSMD12/CSN4, N-terminal	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF14703	Cytosolic domain of 10TM putative phosphate transporter	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF02129	X-Pro dipeptidyl-peptidase (S15 family)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF18439	Ubiquitin-Binding Zinc Finger	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00756	Putative esterase	Other	0	172	181	4	10809	10903	0.0000	1.0	1.0
PF09454	Vps23 core domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01287	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF13499	EF-hand domain pair	Other	0	172	181	9	10809	10903	0.0000	1.0	1.0
PF02517	Type II CAAX prenyl endopeptidase Rce1-like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02112	cAMP phosphodiesterases class-II	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17763	Glutaminase/Asparaginase C-terminal domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF09766	Fms-interacting protein/Thoc5	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06858	Nucleolar GTP-binding protein 1 (NOG1)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02469	Fasciclin domain	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF00975	Thioesterase domain	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF04194	Programmed cell death protein 2, C-terminal putative domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01435	Peptidase family M48	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF03070	TENA/THI-4/PQQC family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF00962	Adenosine deaminase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF08317	Spc7 kinetochore protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09631	Sen15 protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF25773	ANAPC2-like, TPR repeats	NLR-associated	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03851	UV-endonuclease UvdE	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22919	C-terminal domain of V and A type ATP synthase	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF17674	HHH domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04547	Calcium-activated chloride channel	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF24138	Transportin-3/Importin-13 second TPR domain	NLR-associated	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00664	ABC transporter transmembrane region	Other	0	172	181	17	10809	10903	0.0000	1.0	1.0
PF01238	Phosphomannose isomerase type I C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF21638	SDA1, C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01161	Phosphatidylethanolamine-binding protein	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF03999	Microtubule associated protein (MAP65/ASE1 family)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01077	Nitrite and sulphite reductase 4Fe-4S domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF08302	Fungal tRNA ligase phosphodiesterase domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08669	Glycine cleavage T-protein C-terminal barrel domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00071	Ras family	Other	0	172	181	28	10809	10903	0.0000	1.0	1.0
PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin	Other	0	172	181	5	10809	10903	0.0000	1.0	1.0
PF12657	Transcription factor IIIC subunit delta bet-propeller domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04072	Leucine carboxyl methyltransferase	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01336	OB-fold nucleic acid binding domain	Other	0	172	181	6	10809	10903	0.0000	1.0	1.0
PF17866	AAA lid domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01198	Ribosomal protein L31e	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00999	Sodium/hydrogen exchanger, transmembrane	Other	0	172	181	7	10809	10903	0.0000	1.0	1.0
PF02297	Cytochrome oxidase c subunit VIb	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF22298	Tsr1, G-like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF22622	MFE-2 hydratase 2 N-terminal domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF09751	Nuclear protein Es2	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00471	Ribosomal protein L33	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08523	Multiprotein bridging factor 1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF23233	Pre-mRNA-splicing factor Syf1/CNRKL1 N-terminal HAT repeat	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF15901	Sortilin, neurotensin receptor 3, C-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08549	SWI/SNF and RSC complexes subunit Ssr4 N-terminal	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF05199	GMC oxidoreductase	Other	0	172	181	33	10809	10903	0.0000	1.0	1.0
PF01261	Xylose isomerase-like TIM barrel	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF00281	Ribosomal protein L5	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF13445	RING-type zinc-finger	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF19304	D-3-phosphoglycerate dehydrogenase intervening domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF07956	Protein of Unknown function (DUF1690)	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF01491	Frataxin-like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF24494	Domain of unknown function (DUF7587)	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF00623	RNA polymerase Rpb1, domain 2	Other	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF05378	Hydantoinase/oxoprolinase N-terminal region	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF21193	NMD3 SH3 domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF04181	Rtr1/RPAP2 family	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09297	NADH pyrophosphatase zinc ribbon domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF06093	Spt4/RpoE2 zinc finger	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF12894	Anaphase-promoting complex subunit 4 WD40 domain	NLR-associated	0	172	181	3	10809	10903	0.0000	1.0	1.0
PF11894	Nuclear pore complex scaffold, nucleoporins 186/192/205	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF11309	Protein of unknown function (DUF3112)	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF00956	Nucleosome assembly protein (NAP)	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF01269	Fibrillarin	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09732	Cactus-binding C-terminus of cactin protein	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF09692	Argonaute siRNA chaperone (ARC) complex subunit Arb1	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF02733	Dak1 domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF13881	Ubiquitin-2 like Rad60 SUMO-like	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00398	Ribosomal RNA adenine dimethylase	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF00467	KOW motif	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF02291	Transcription initiation factor IID, 31kD subunit	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF17852	Dynein heavy chain AAA lid domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF03815	LCCL domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF24919	Meiotically up-regulated gene 62 protein-like domain	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF16897	C-terminal region of MMR_HSR1 domain	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
PF03364	Polyketide cyclase / dehydrase and lipid transport	Other	0	172	181	1	10809	10903	0.0000	1.0	1.0
PF08449	UAA transporter family	Other	0	172	181	2	10809	10903	0.0000	1.0	1.0
